,contentid,contenttypeid,title,overview,firstimage,addr1,mapx,mapy,tags,tokens,contenttypeid_tag
0,2686628,82,1975 Yeonggyeguksu The deungsim(1975영계국수The등심),"It is a restaurant where you can enjoy fresh meat as it is also a butcher’s shop. This Korean dishes restaurant is located in Pyeongchang-gun, Gangwon-do. The representative menu is sausage stew.",http://tong.visitkorea.or.kr/cms/resource/74/2676374_image2_1.jpg,"296, Solbong-ro, Pyeongchang-gun, Gangwon-do",128.6639793137,37.6627744563,restaurant fresh meat butchers shop korean dishes restaurant pyeongchanggun gangwondo representative menu sausage stew,"['food', 'butchers', 'sausage', 'meat', 'pyeongchanggun', 'shop']",food
1,2694940,82,1994 Hyeondae Sutbul Galbi (1994현대숯불갈비),"It is a store that has been around since 1994. This Korean dishes restaurant is located in Wonju-si, Gangwon-do. The representative menu is charcoal-grilled ribs.",http://tong.visitkorea.or.kr/cms/resource/63/2701363_image2_1.jpg,"43-4, Jangmigongwon-gil, Wonju-si, Gangwon-do",127.930371561,37.3469331886,store korean dishes restaurant wonjusi gangwondo representative menu charcoalgrilled ribs,"['food', 'charcoalgrilled', 'ribs', 'store', 'wonjusi', 'representative']",food
2,2694672,82,1bunji Seolleongtang (1번지설렁탕),"This is a place that provides thick broth with rice. The best menu at this restaurant is ox bone soup. This Korean dishes restaurant is located in Gangneung-si, Gangwon-do.",http://tong.visitkorea.or.kr/cms/resource/14/2685014_image2_1.jpg,"1, Nampyeong-gil, Gangneung-si, Gangwon-do",128.8416018082,37.8556583536,place thick broth rice best menu restaurant ox bone soup korean dishes restaurant gangneungsi gangwondo,"['food', 'bone', 'ox', 'broth', 'thick', 'rice']",food
3,2694713,82,365 Mega Bunsik (365 메가분식),"It is a place where you can enjoy it at a good price. This restaurant's signature menu is pork cutlet with cheese. This Korean dishes restaurant is located in Wonju-si, Gangwon-do.",http://tong.visitkorea.or.kr/cms/resource/21/2701321_image2_1.jpg,"2, Hwanggeum-ro, Wonju-si, Gangwon-do",127.9866031563,37.3278419953,place price restaurants signature menu pork cutlet cheese korean dishes restaurant wonjusi gangwondo,"['food', 'cheese', 'cutlet', 'price', 'pork', 'wonjusi']",food
4,1825889,76,365 Safetown (365 세이프타운),"365 Safetown is a one-of-a-kind safety awareness theme park combining  education, entertainment, recreation, and leisure into 
one public park. It is the world’s first edutainment facility  dedicated to teaching the public safety lessons about fire, earthquakes, and other natural disasters.

The park consists of three different areas. The Korea Youth Safety Experience Hall provides a realistic experience of natural disasters through 3D and 4D installations. Challenge World offers a chance to test one’s limits through outdoor experience facilities like the tree track and zip line. Lastly, the Gangwon-do Firefighting Academy is a specialized training center for firefighters.",,"15, Pyeonghwa-gil, Taebaek-si, Gangwon-do",129.0267221911,37.0993713487,safetown oneofakind safety awareness theme park combining education entertainment recreation leisure public park worlds first edutainment facility dedicated teaching public safety lessons fire earthquakes natural disasters park consists three different areas youth safety experience hall realistic experience natural disasters installations challenge world chance test ones limits outdoor experience facilities tree track zip line lastly gangwondo firefighting academy specialized training center firefighters,"['nature', 'safety', 'disasters', 'experience', 'park', 'public']",nature
5,2693602,82,9 Nammaejip (9남매집),"It is a place where Korean beans are made every day. This restaurant's signature menu is rich soybean paste stew. This Korean dishes restaurant is located in Gangneung-si, Gangwon-do.",http://tong.visitkorea.or.kr/cms/resource/70/2684770_image2_1.jpg,"63-2, Chodangwon-gil, Gangneung-si, Gangwon-do",128.9139113072,37.7869677163,place korean beans made day restaurants signature menu rich soybean paste stew korean dishes restaurant gangneungsi gangwondo,"['food', 'soybean', 'beans', 'paste', 'rich', 'stew']",food
6,264439,76,Abai Village (아바이 마을),"Located in Cheongho-dong, Abai Village bears a history of displaced people’s distress. The village was formed by refugees of the Korean War from North Korea, mainly from Hamgyeong-do Province. The word “abai” is a dialect of Hamgyeong-do that means a friendly old man like a grandfather. Visitors to Abai Village can get a sense of displaced people’s life and story, which fade away into a chapter of history. Although it has lost its original appearance now, old shacks without a gate still remain here and there. Mural paintings on the wall show the sentiment of nostalgia about their hometown and express sorrow and hard life of displaced people, who lived from hand to mouth by fishing and doing physical labor. The original houses built by refugees in the village were restored into the Refugee Village at the Sokcho Museum. Abai Village is also known as a filming location for the Korean TV drama Autumn in My Heart, attracting a lot of visitors and becoming a major attraction in Sokcho. The restaurant alley is packed with cafes and North Korean food restaurants serving local dishes such as Hamheung-style cold buckwheat noodles, stuffed squid, and North Korean-style sausage soup.",http://tong.visitkorea.or.kr/cms/resource/73/2711173_image2_1.jpg,"122-1, Cheongho-ro, Sokcho-si, Gangwon-do",128.5949161776,38.2007412589,cheonghodong abai village bears history displaced peoples distress village formed refugees korean war north mainly hamgyeongdo province word abai dialect hamgyeongdo means friendly old man grandfather visitors abai village get sense displaced peoples life story fade away chapter history although lost original appearance old shacks without gate still remain mural paintings wall show sentiment nostalgia hometown express sorrow hard life displaced people lived hand mouth fishing physical labor original houses refugees village restored refugee village sokcho museum abai village known filming location korean tv drama autumn heart attracting lot visitors becoming major attraction sokcho restaurant alley packed cafes north korean food restaurants serving local dishes hamheungstyle cold buckwheat noodles stuffed squid north koreanstyle sausage soup,"['nature', 'abai', 'village', 'displaced', 'hamgyeongdo', 'refugees']",nature
7,2366892,76,Abai Village Ferry (아바이마을 갯배),"Gaetbae (boat without engine) is an exotic means of transportation to cross the Abai Village at the mouth of Cheongchoho Lake. It is a rapid means of traveling between downtown Sokcho and Abai Village along the 50 m-long waterway. This small barge-style boat without an engine can be run by pulling the wire manually. When fixing the solid steel wire on both sides of the waterway and pulling it hard with a hook, a boat moves forward slowly. As there is no boatman, passengers need to work together to move the boat. It takes about 5 min to cross the water by boat. This unique experience still attracts many tourists to Sokcho. Furthermore, it is known as the filming location for the Korean TV drama Autumn in My Heart, so many tourists from Japan and China visit the place.",,"39, Jungangbudu-gil, Sokcho-si, Gangwon-do",128.5922246895,38.2028631815,gaetbae boat without engine exotic means transportation cross abai village mouth cheongchoho lake rapid means traveling downtown sokcho abai village mlong waterway small bargestyle boat without engine run pulling wire manually fixing solid steel wire sides waterway pulling hard hook boat moves forward slowly boatman passengers need work together move boat takes min cross water boat unique experience still attracts tourists sokcho furthermore known filming location korean tv drama autumn heart tourists japan china place,"['nature', 'boat', 'engine', 'pulling', 'wire', 'abai']",nature
8,2813153,76,Alpaca World (알파카월드),"Situated on an area of 363,636-㎡ forest, Alpaca World is the first experiential zoo to be founded in Gangwon-do. Visitors can interact and feed cute alpacas surrounded by the pristine beauty of nature. Alpaca World has made appearances in many television shows, featuring ""the genius alpaca"" and the first alpaca to be born in Korea. The attraction offers many hands-on programs and amenities for the convenience of diverse visitors, ranging from families and couples to school field trips.",http://tong.visitkorea.or.kr/cms/resource/32/2539932_image2_1.jpg,"146-155, Deokjaebat-gil, Hongcheon-gun, Gangwon-do",127.8837032834,37.8276988352,forest alpaca world first experiential zoo founded gangwondo visitors interact feed cute alpacas surrounded pristine beauty nature alpaca world made appearances television featuring genius alpaca first alpaca born attraction handson programs amenities convenience diverse visitors ranging families couples school field trips,"['nature', 'alpaca', 'world', 'first', 'interact', 'appearances']",nature
9,266863,75,Alpensia Casino (알펜시아 카지노),"Alpensia Casino is located in the beautiful natural environment of Alpensia Resort, an official venue of the 2018 PyeongChang Olympics. The casino is an international level casino open all year round and it has games such as Baccarat, Blackjack, Roulette, and Big Wheel, as well as slot machines.",http://tong.visitkorea.or.kr/cms/resource/53/1846753_image2_1.jpg,"325, Solbong-ro, Pyeongchang-gun, Gangwon-do",128.6743702048,37.6575030436,alpensia casino beautiful natural environment alpensia resort official venue pyeongchang olympics casino international level casino open year round games baccarat blackjack roulette big wheel slot machines,"['activity', 'casino', 'alpensia', 'roulette', 'blackjack', 'wheel']",activity
